"HID"	"X"	"Y"
42385	-7.879264	6.78743
42386	-7.490104	7.607392
42387	-7.09789	8.429671
42388	-6.701555	9.254807
42389	-6.29975	10.083468
42390	-6.076001	10.790374
42391	-5.845538	11.501741
42392	-5.608258	12.217317
42393	-5.364059	12.936839
42394	-5.112836	13.66003
42395	-4.854484	14.386604
42464	-8.652382	4.60421
42465	-8.268088	5.418854
42466	-7.882814	6.234703
42467	-7.495952	7.052068
42468	-7.106774	7.871322
42469	-6.714399	8.692919
42470	-6.31773	9.517415
42471	-5.915372	10.345501
42472	-5.690992	11.052231
42473	-5.45965	11.763515
42474	-5.221241	12.479088
42475	-4.975661	13.198673
42476	-4.722802	13.921977
42546	-8.26835	4.870496
42547	-7.884332	5.684396
42548	-7.499233	6.499501
42549	-7.112435	7.316128
42550	-6.723199	8.134658
42551	-6.330623	8.955556
42552	-5.933577	9.779397
42553	-5.53062	10.606896
42554	-5.305563	11.313445
42555	-5.073288	12.024645
42556	-4.833687	12.740218
42557	-4.586653	13.459869
42558	-4.332076	14.183291
42626	-8.267349	4.324039
42627	-7.884214	5.136245
42628	-7.500429	5.949387
42629	-7.115463	6.763732
42630	-6.72869	7.579604
42631	-6.339356	8.397393
42632	-5.946539	9.217577
42633	-5.549075	10.040748
42634	-5.145471	10.867647
42635	-4.919692	11.57401
42636	-4.68643	12.285126
42637	-4.445572	13.0007
42638	-4.197008	13.720421
42639	-3.940628	14.443965
42708	-7.882798	4.590017
42709	-7.499948	5.401455
42710	-7.116355	6.213822
42711	-6.731482	7.027391
42712	-6.344693	7.842491
42713	-5.955222	8.659523
42714	-5.562124	9.478975
42715	-5.1642	10.30146
42716	-4.759903	11.127747
42717	-4.533358	11.833919
42718	-4.299051	12.54495
42719	-4.056869	13.260528
42720	-3.806698	13.980324
42790	-7.498135	4.855467
42791	-7.115528	5.666121
42792	-6.732085	6.477697
42793	-6.347263	7.290473
42794	-5.96042	8.104784
42795	-5.570774	8.92104
42796	-5.177355	9.739744
42797	-4.778932	10.561527
42798	-4.373895	11.387188
42799	-4.146537	12.093165
42800	-3.911128	12.804111
42801	-3.667553	13.519696
42802	-3.415695	14.239572
42870	-7.495285	4.311207
42871	-7.113335	5.120383
42872	-6.730928	5.930238
42873	-6.347593	6.741007
42874	-5.962784	7.552973
42875	-5.575847	8.366477
42876	-5.185987	9.181939
42877	-4.792211	9.999876
42878	-4.393247	10.820941
42879	-3.987424	11.645962
42880	-3.759207	12.35174
42881	-3.522638	13.062602
42882	-3.277598	13.778198
42883	-3.023969	14.49816
42952	-7.110077	4.576391
42953	-6.728372	5.384763
42954	-6.346122	6.193802
42955	-5.962856	7.003747
42956	-5.578019	7.814886
42957	-5.190951	8.627566
42958	-4.80084	9.442215
42959	-4.406668	10.259367
42960	-4.007123	11.079695
42961	-3.60047	11.904064
42962	-3.371347	12.609637
42963	-3.133557	13.320415
43034	-6.724724	4.84105
43035	-6.34322	5.648602
43036	-5.961086	6.45681
43037	-5.577847	7.265915
43038	-5.192944	8.076208
43039	-4.805706	8.888044
43040	-4.415307	9.701861
43041	-4.020703	10.518209
43042	-3.62054	11.337783
43043	-3.213011	12.161485
43044	-2.982934	12.86685
43045	-2.743862	13.577546
43115	-6.3392	5.10518
43116	-5.957854	5.911898
43117	-5.575794	6.719258
43118	-5.192542	7.527504
43119	-4.807534	8.336933
43120	-4.42009	9.147906
43121	-4.029367	9.960872
43122	-3.634295	10.776395
43123	-3.233475	11.595198
43124	-2.825025	12.418218
43125	-2.593946	13.12337
43126	-2.353527	13.833986
43196	-6.334327	4.563334
43197	-5.953478	5.368779
43198	-5.572248	6.174646
43199	-5.19022	6.981142
43200	-4.806916	7.788513
43201	-4.421765	8.597059
43202	-4.034078	9.407149
43203	-3.642995	10.219242
43204	-3.24742	11.033921
43205	-2.845905	11.851932
43206	-2.43649	12.674255
43207	-2.20436	13.37919
43278	-5.94823	4.827247
43279	-5.567534	5.631843
43280	-5.186375	6.436845
43281	-4.804339	7.242459
43282	-4.420942	8.048936
43283	-4.035611	8.856579
43284	-3.647644	9.665766
43285	-3.256168	10.476965
43286	-2.860055	11.290778
43287	-2.45781	12.107978
43288	-2.047386	12.929589
43289	-1.814155	13.634303
43359	-5.561927	5.090639
43360	-5.181339	5.89437
43361	-4.800211	6.69849
43362	-4.418125	7.503206
43363	-4.034596	8.30877
43364	-3.649046	9.115491
43365	-3.260766	9.923753
43366	-2.868862	10.734037
43367	-2.472178	11.546961
43368	-2.069167	12.363329
43369	-1.657691	13.184211
43441	-5.175392	5.353506
43442	-4.794868	6.156358
43443	-4.413727	6.95958
43444	-4.03155	7.763379
43445	-3.647852	8.568012
